bathrooms,bedrooms,square_feet,latitude,longitude,price
0,0,101,38.9057,-76.9861,790
0,1,106,37.968,-87.6621,425
1,0,107,38.891,-77.0816,1390
1,0,116,47.616,-122.3275,925
0,0,125,38.8738,-77.1055,880
1,0,130,40.7629,-73.9885,2475
0,0,132,33.9932,-118.4609,1800
0,0,136,38.9328,-77.0297,840
1,0,138,37.7599,-122.4379,1495
0,0,141,38.9118,-77.0132,890
0,0,146,38.9118,-77.0132,990
0,0,150,38.9118,-77.0132,840
0,1,156,32.2264,-110.9438,1795
0,0,178,38.9118,-77.0132,1090
1,0,190,37.7599,-122.4379,1695
1,1,200,35.096,-77.0272,1560
1,1,200,30.0871,-95.4685,1000
1,1,200,38.1172,-122.2313,950
1,1,200,33.9649,-84.5107,625
1,1,200,35.2016,-80.8124,600
1,1,200,30.4601,-84.2714,544
1,1,200,null,null,525
1,1,200,33.5178,-112.0848,450
1,1,215,27.8492,-82.3155,750
1,1,219,32.8956,-85.4351,2000
1,1,219,37.7599,-122.4379,1400
1,1,219,39.1634,-76.6165,1095
1,1,219,39.5816,-105.0387,915
1,1,219,38.621,-76.9225,900
1,1,219,27.8492,-82.3155,865
1,1,219,null,null,750
1,1,219,39.6828,-104.8078,725
1,1,219,38.7418,-77.4684,650
1,1,219,33.7416,-84.2614,650
1,1,219,28.0076,-82.4792,645
1,1,219,35.1038,-106.611,595
1,1,220,null,null,750
1,0,223,47.616,-122.3275,1195
1,0,225,47.616,-122.3275,1150
1,1,225,41.8625,-87.6825,942
1,0,228,47.616,-122.3275,1250
1,1,230,35.224,-81.1809,800
1,1,230,27.7011,-82.3178,685
1,1,230,35.1211,-89.9517,525
1,0,231,47.616,-122.3275,1095
1,0,232,37.7599,-122.4379,1695
0,0,239,38.9118,-77.0132,990
1,1,240,48.7871,-122.4437,775
1,0,243,47.616,-122.3275,1299
1,1,245,61.1723,-149.8414,705
1,1,250,37.6019,-122.4863,1800
1,1,250,33.9855,-118.4532,1600
1,1,250,37.7599,-122.4379,1500
1,1,250,34.145,-118.3898,1330
1,1,250,34.2805,-118.8861,1310
1,1,250,33.8363,-118.333,1300
1,1,250,38.5587,-121.432,1295
1,1,250,34.2017,-118.492,1255
1,1,250,47.616,-122.3275,1250
1,1,250,34.1881,-118.3905,1250
1,1,250,39.736,-104.9819,1200
1,1,250,39.6828,-104.8078,1200
1,1,250,37.9353,-121.6935,1175
1,1,250,37.9917,-122.5247,1155
1,1,250,39.1088,-77.2384,1150
1,1,250,42.6484,-71.1615,1145
1,1,250,37.7904,-122.2151,1135
1,1,250,37.9724,-122.3304,1115
1,0,250,41.8625,-87.6825,1095
1,1,250,38.7999,-77.1072,1090
1,1,250,41.8625,-87.6825,1075
1,1,250,34.2009,-118.8636,1050
1,1,250,39.736,-104.9819,1050
1,1,250,38.786,-77.2858,1045
1,1,250,47.5988,-122.1507,1025
1,1,250,39.8163,-98.5576,1025
1,1,250,38.3918,-121.2234,1005
1,1,250,34.1677,-118.6141,1000
1,1,250,25.7603,-80.3005,1000
1,1,250,38.9633,-76.9375,1000
1,1,250,39.8644,-105.0454,1000
1,1,250,39.6828,-104.8078,1000
1,1,250,39.8228,-105.1107,1000
1,1,250,33.7606,-118.0806,1000
1,1,250,33.1463,-117.1694,975
1,1,250,39.8587,-74.8101,965
1,1,250,39.1634,-76.6165,955
1,1,250,39.5816,-105.0387,950
1,1,250,39.6828,-104.8078,950
1,1,250,37.9682,-122.0091,930
1,1,250,39.9999,-105.0993,925
1,1,250,32.6197,-117.0226,925
1,1,250,39.1634,-76.6165,925
1,1,250,39.5516,-104.969,915
1,1,250,39.0976,-76.8614,900
1,1,250,28.5163,-81.3644,900
1,1,250,40.0213,-105.2552,900
1,1,250,39.6828,-104.8078,900
1,1,250,34.0291,-117.9457,900
1,1,250,33.8323,-117.9079,900
1,1,250,39.8312,-104.8942,895
1,1,250,39.8228,-105.1107,895
1,1,250,38.8738,-77.1055,875
1,1,250,26.1806,-81.7257,865
1,1,250,33.7848,-84.3922,865
1,1,250,27.3181,-82.4987,860
1,1,250,39.6828,-104.8078,855
1,1,250,38.69,-77.2065,850
1,1,250,40.0994,-104.8079,850
1,1,250,38.6487,-77.3152,850
1,1,250,36.137,-86.783,850
1,1,250,27.7873,-82.6772,850
1,1,250,45.5091,-122.6449,850
1,1,250,39.4324,-76.3552,825
1,1,250,33.7848,-84.3922,805
1,1,250,39.9156,-105.0876,800
1,1,250,39.6169,-104.919,800
1,1,250,39.0287,-77.2409,800
1,1,250,28.905,-81.2156,800
1,1,250,38.1255,-121.2878,800
1,1,250,30.2989,-81.6324,800
1,1,250,39.4904,-104.7265,795
1,1,250,38.6968,-104.6969,785
1,1,250,40.5649,-105.0824,785
1,1,250,40.4067,-105.0984,760
1,1,250,28.7026,-81.3885,755
1,1,250,39.6103,-75.6896,755
1,1,250,40.2776,-76.7088,755
1,1,250,33.945,-117.4074,750
1,1,250,27.2897,-80.3421,750
1,1,250,39.1774,-77.2569,750
1,1,250,35.2016,-80.8124,750
1,1,250,36.137,-86.783,725
1,1,250,33.8691,-84.7686,725
1,1,250,29.4782,-98.2759,720
1,1,250,29.7714,-95.4343,705
1,1,250,33.4234,-111.5415,700
1,1,250,30.3054,-97.7497,700
1,1,250,39.9156,-105.0876,700
1,1,250,33.5783,-111.8902,700
1,1,250,28.5163,-81.3644,700
1,1,250,39.3191,-76.6126,700
1,1,250,39.6041,-104.8594,700
1,1,250,39.6894,-105.1119,700
1,1,250,30.0066,-97.8071,700
1,0,250,42.5286,-92.4509,695
1,1,250,41.7834,-87.8099,695
1,1,250,34.0505,-81.0098,685
1,1,250,33.5178,-112.0848,685
1,1,250,29.7714,-95.4343,675
1,1,250,45.1748,-93.3109,675
1,1,250,33.5178,-112.0848,660
1,1,250,39.3191,-76.6126,650
1,1,250,44.9545,-123.0072,650
1,1,250,29.4832,-82.8641,650
1,1,250,29.4624,-98.5253,650
1,1,250,36.0402,-86.6385,650
1,1,250,33.6285,-78.9873,645
1,1,250,35.2016,-80.8124,645
1,1,250,27.0717,-82.3833,625
1,1,250,null,null,625
1,1,250,33.5178,-112.0848,610
1,1,250,28.473,-82.5474,600
1,1,250,32.2264,-110.9438,600
1,1,250,33.9369,-84.306,600
1,1,250,36.9873,-122.016,600
1,1,250,28.0076,-82.4792,600
1,1,250,47.1165,-88.5631,600
1,1,250,35.823,-78.6438,600
1,1,250,37.6465,-78.2899,595
1,1,250,27.6361,-80.4261,580
1,1,250,39.9849,-75.8127,575
1,1,250,28.681,-81.2808,575
1,1,250,39.2019,-76.951,550
1,1,250,38.7701,-77.2263,550
1,1,250,33.8829,-78.6369,500
1,1,250,29.5056,-94.9889,500
1,1,250,34.8856,-112.4675,500
1,1,250,38.2006,-84.9469,499
1,1,250,33.5178,-112.0848,495
1,1,250,39.3903,-77.1487,200
1,0,253,47.616,-122.3275,1325
1,0,255,47.7046,-122.1989,1400
1,0,258,37.7599,-122.4379,1995
1,1,265,43.0724,-89.4003,710
1,1,272,38.9118,-77.0132,1659
1,1,272,37.7078,-122.1435,1600
1,1,273,39.1471,-86.5136,850
1,0,275,33.6019,-117.8637,1900
1,1,275,34.0372,-118.2972,1505
1,1,275,33.3423,-111.7755,900
1,0,275,41.8625,-87.6825,892
1,1,275,39.1263,-84.5172,705
1,1,280,38.8077,-76.9886,1240
1,1,285,61.1723,-149.8414,870
1,0,286,41.8625,-87.6825,1095
1,0,288,47.616,-122.3275,1350
1,1,288,40.3911,-80.1989,865
1,1,288,28.0076,-82.4792,690
1,0,290,45.5091,-122.6449,1099
1,1,290,44.9855,-93.3023,700
1,0,296,41.6595,-91.535,850
1,0,300,37.4356,-122.134,2200
1,1,300,41.0591,-74.1452,2112
1,1,300,34.1428,-117.9996,1868
1,1,300,41.7277,-72.8374,1785
1,1,300,34.0628,-118.2754,1575
1,1,300,39.1775,-77.1944,1534
1,1,300,41.7773,-72.5249,1470
1,1,300,39.1627,-76.6354,1470
1,1,300,39.1723,-76.8514,1470
1,2,300,40.6496,-73.9596,1425
1,1,300,39.2081,-76.661,1386
1,0,300,47.616,-122.3275,1195
1,1,300,41.9891,-87.6572,995
1,0,300,33.7815,-118.1934,975
1,1,300,41.8625,-87.6825,911
1,0,300,30.3054,-97.7497,900
1,1,300,40.5649,-105.0824,800
1,1,300,33.7416,-84.2614,800
1,1,300,39.736,-104.9819,795
1,1,300,27.3181,-82.4987,795
1,1,300,43.0531,-87.9659,775
1,0,300,41.8625,-87.6825,760
1,1,300,28.23,-82.3055,750
1,1,300,41.6151,-71.1705,725
1,1,300,33.5571,-84.2167,700
1,1,300,39.9974,-82.9829,650
1,1,300,39.0744,-108.5228,595
